pid,name,normalized_burst_time,arrival_time,waiting_time,turnaround_time
86172, (kworker/1:38-events),86,49726,26799,26885
86193, (kworker/u24:6-btrfs-endio-write),86,49726,26885,26971
87157, (code),86,49726,26971,27057
87168, (code),86,49726,27057,27143
87336, (kworker/0:2-events),86,49726,27143,27229
87603, (fish),86,49726,27229,27315
87702, (code),86,49726,27315,27401
88214, (kworker/5:0-i915-unordered),86,49726,27401,27487
88785, (kworker/u24:0-btrfs-endio-write),86,49726,27487,27573
89047, (opera),89,49726,27573,27662
89066, (kworker/2:0-i915-unordered),86,49726,27662,27748
89079, (opera),85,49726,27748,27833
89599, (kworker/u24:2-btrfs-endio-write),86,49726,27833,27919
89881, (kworker/u25:3-i915_flip),71,49726,27919,27990
90078, (kworker/u24:3-btrfs-endio-write),86,49726,27990,28076
90404, (kworker/u24:5-btrfs-compressed-write),86,49726,28076,28162
90777, (kworker/10:0-inet_frag_wq),86,49726,28162,28248
90893, (sh),86,49726,28248,28334
90903, (python),86,49726,28334,28420
91592, (kworker/u24:7-events_unbound),86,49726,28420,28506
91593, (kworker/u24:9-btrfs-endio-write),86,49726,28506,28592
91802, (kworker/7:1-events),86,49726,28592,28678
92014, (kworker/4:1-events),86,49726,28678,28764
92165, (kworker/u24:10-btrfs-endio-write),86,49726,28764,28850
92166, (kworker/u24:12-events_unbound),86,49726,28850,28936
92167, (kworker/u24:13),86,49726,28936,29022
92169, (kworker/10:2-events),86,49726,29022,29108
92325, (kworker/u25:0),71,49726,29108,29179
92701, (kworker/9:2-events),86,49726,29179,29265
92822, (kworker/2:2-i915-unordered),86,49726,29265,29351
92955, (fish),86,49726,29351,29437
93148, (sh),86,49726,29437,29523
93157, (a.out),86,49726,29523,29609
